Agency,Program or Activity ,Fiscal Year, Confirmed Fraud 
DHS,Cybersecurity and Infrastructure Security Agency,2021, $ -   
DHS,Cybersecurity and Infrastructure Security Agency (CISA) - All Other,2021, $ -   
DHS,Cybersecurity and Infrastructure Security Agency (CISA) - Payroll,2021, $ -   
DHS,DHS HQ,2020, $ 0.10 
DHS,Federal Emergency Management Agency,2021, $ 7.89 
DHS,Federal Emergency Management Agency (FEMA) - American Red Cross,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - American Red Cross - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: Fire Prevention Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Assistance to Firefighter Grants: SAFER Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Case Management,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Commercial Bill of Lading - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Disaster Case Management,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Disaster Case Management - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Disaster Relief Fund (DRF): Individuals and Households Program - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Emergency Food & Shelter Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Emergency Management Baseline Assessment Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Emergency Management Performance Grants,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Claims and Non-Claims,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Grants,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Fleet Card,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Fleet Card - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Flood Hazard Map and Risk Analysis Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - FRM Risk Map,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - FRM Risk Map - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Homeland Security Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Homeland Security Preparedness Technical Assistance Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Intercity Bus Security Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Intragovernmental Personnel Act (IPA),2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Lost Wages,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - National Dam Safety Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - National Earthquake Hazards Reduction Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - National Incident Management System,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Nonprofit Security Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Payroll,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Payroll - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Port Security Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Pre-Disaster Mitigation,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Public Assistance,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Public Assistance - Validate as You Go,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Purchase Card,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Purchase Card - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Reinsurance,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Training Grants,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Transit Security Grant Program,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Travel,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Travel - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - U.S. Fire Administration,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Urban Search and Rescue,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Urban Search and Rescue - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Vendor Pay,2021, $ -   
DHS,Federal Emergency Management Agency (FEMA) - Vendor Pay - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Law Enforcement Training Centers,2021, $ -   
DHS,Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET),2021, $ -   
DHS,Federal Law Enforcement Training Centers (FLETC) - Law Enforcement Training (LET) - Disaster Supplemental Funds,2021, $ -   
DHS,Federal Law Enforcement Training Centers (FLETC) - Mission Support,2021, $ -   
DHS,FEMA,2017, $ 17.12 
DHS,FEMA,2018, $ 6.22 
DHS,FEMA,2019, $ 5.12 
DHS,FEMA,2020, $ 1.52 
DHS,FLETC,2018, $ 0.04 
DHS,FLETC,2020, $ 0.50 
DHS,ICE,2018, $ 0.04 
DHS,ICE,2019, $ 0.08 
DHS,ICE,2020, $ 0.00 
DHS,Immigration and Customs Enforcement,2021, $ 0.12 
DHS,Immigration and Customs Enforcement (ICE) - CARES Act Funds,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Debit Card,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Enforcement and Removal Operations (ERO),2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Fleet Card,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Homeland Security Investigations (HSI),2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Management,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Office of the Assistant Secretary,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Operations & Support - Disaster Supplemental Funds,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Payroll,2021, $ -   
DHS,"Immigration and Customs Enforcement (ICE) - Procurements, Construction, and Improvement - Disaster Supplemental Funds",2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Purchase Card,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Servicewide Agreements,2021, $ -   
DHS,Immigration and Customs Enforcement (ICE) - Travel,2021, $ -   
DHS,Management Directorate,2021, $ 6.07 
DHS,Management Directorate (MGMT) - Federal Protective Service,2021, $ -   
DHS,Management Directorate (MGMT) - Management & Administration,2021, $ -   
DHS,NPPD,2018, $ 0.37 
DHS,"Office of Inspector General (OIG) - Audits, Inspections, & Investigations",2021, $ -   
DHS,"Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds",2021, $ -   
DHS,"Office of Intelligence, Analysis, and Operations",2021, $ -   
DHS,"Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations",2021, $ -   
DHS,Office of the Inspector General,2021, $ -   
DHS,Science and Technology Directorate,2021, $ -   
DHS,Science and Technology Directorate (S&T) - Research & Development,2021, $ -   
DHS,Transportation and Security Administration,2021, $ -   
DHS,Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds,2021, $ -   
DHS,Transportation Security Administration (TSA) - Operations & Support: Mission Support,2021, $ -   
DHS,Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement,2021, $ -   
DHS,Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds,2021, $ -   
DHS,Transportation Security Administration (TSA) - Research & Development,2021, $ -   
DHS,TSA,2017, $ 8.40 
DHS,TSA,2018, $ 14.54 
DHS,TSA,2019, $ 0.01 
DHS,TSA,2020, $ 0.00 
DHS,U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services,2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Administration,2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify),2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year,2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance,2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services,2021, $ -   
DHS,U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE),2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Automation and Modernization,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Border Security Fencing,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Miscellaneous,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Operations and Maintenance,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Operations and Support,2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - PR and VI Programs,2021, $ -   
DHS,"U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements",2021, $ -   
DHS,"U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds",2021, $ -   
DHS,U.S. Customs and Border Protection (CBP) - Refund and Drawback,2021, $ -   
DHS,U.S. Secret Service (USSS) - Administration,2021, $ -   
DHS,U.S. Secret Service (USSS) - Contribution for Annuity Benefits,2021, $ -   
DHS,U.S. Secret Service (USSS) - Field Operations,2021, $ -   
DHS,"U.S. Secret Service (USSS) - Procurement, Construction, & Improvement",2021, $ -   
DHS,U.S. Secret Service (USSS) - Protection,2021, $ -   
DHS,U.S. Secret Service (USSS) - Research & Development,2021, $ -   
DHS,U.S. Secret Service (USSS) - Training,2021, $ -   
DHS,United States Citizenship and Immigration Services,2021, $ -   
DHS,United States Coast Guard,2021, $ 0.04 
DHS,United States Coast Guard (USCG) - Aviation Logistics Command,2021, $ -   
DHS,United States Coast Guard (USCG) - Aviation Logistics Command - Disaster Supplemental Funds,2021, $ -   
DHS,United States Coast Guard (USCG) - Coast Guard Boat Safety,2021, $ -   
DHS,United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R),2021, $ -   
DHS,United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R) - Disaster Supplemental Funds,2021, $ -   
DHS,United States Coast Guard (USCG) - Gift Fund,2021, $ -   
DHS,United States Coast Guard (USCG) - Maritime Oil Spill Program,2021, $ -   
DHS,United States Coast Guard (USCG) - Operations & Support,2021, $ -   
DHS,United States Coast Guard (USCG) - Operations & Support - Disaster Supplemental Funds,2021, $ -   
DHS,United States Coast Guard (USCG) - Payroll: Civilian,2021, $ -   
DHS,United States Coast Guard (USCG) - Payroll: Military,2021, $ -   
DHS,"United States Coast Guard (USCG) - Procurement, Construction, & Improvement",2021, $ -   
DHS,"United States Coast Guard (USCG) - Procurements, Construction, and Improvement - Disaster Supplemental Funds",2021, $ -   
DHS,United States Coast Guard (USCG) - Research & Development,2021, $ -   
DHS,United States Coast Guard (USCG) - Reserve Training,2021, $ -   
DHS,United States Coast Guard (USCG) - Retired Pay,2021, $ -   
DHS,United States Coast Guard (USCG) - Supply Fund,2021, $ -   
DHS,United States Coast Guard (USCG) - Surface Forces Logistics Command,2021, $ -   
DHS,United States Coast Guard (USCG) - Surface Forces Logistics Command - Disaster Supplemental Funds,2021, $ -   
DHS,United States Coast Guard (USCG) - Yard Fund,2021, $ -   
DHS,United States Secret Service,2021, $ -   
DHS,USCG,2018, $ 2.21 
DHS,USCG,2019, $ 0.55 
DHS,USCIS,2017, $ 0.55 
DHS,USCIS,2019, $ 0.02 
DHS,USCIS,2020, $ 0.05 
DHS,USSS,2018, $ 0.01 
DNFSB,Agency Wide,2022, $ -   
DNFSB,Agency Wide,2023, $ -   
DNFSB,Agency Wide,2024, $ -   
DOC,Agency Wide,2022, $ 4.10 
DOC,Agency Wide,2023, $ 13.98 
DOC,Agency Wide,2024, $ -   
DOC,Bureau of Economic Analysis (BEA),2021, $ -   
DOC,Bureau of Industry and Security (BIS),2021, $ -   
DOC,Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement,2021, $ -   
DOC,Census,2019, $ 1.11 
DOC,Census Bureau,2021, $ -   
DOC,Census Bureau - Current Demographic Statistics,2021, $ -   
DOC,Census Bureau - Current Economic Statistics,2021, $ -   
DOC,Census Bureau - Decennial Census,2021, $ -   
DOC,Census Bureau - EDCADS-Census Enterprise Data Collection and Processing,2021, $ -   
DOC,Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems,2021, $ -   
DOC,Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services,2021, $ -   
DOC,Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration,2021, $ -   
DOC,Census Bureau - Geographic Support,2021, $ -   
DOC,Census Bureau - Periodic Economic Statistics,2021, $ -   
DOC,Census Bureau - State Children's Health Insurance Program,2021, $ -   
DOC,Census Bureau - Survey of Program Dynamics,2021, $ -   
DOC,Census Bureau - Working Capital Fund,2021, $ -   
DOC,Department of Commerce,2018, $ 1.19 
DOC,DOC Total,2017, $ 10.46 
DOC,Economic Development Administration (EDA),2021, $ 0.23 
DOC,Economic Development Administration (EDA) - Grants,2021, $ -   
DOC,Economic Development Administration (EDA) - Salaries and Expenses,2021, $ -   
DOC,EDA,2019, $ 0.47 
DOC,Internation Trade Administration (ITA),2021, $ 0.23 
DOC,International Trade Administration (ITA) - Enforcement and Compliance,2021, $ -   
DOC,International Trade Administration (ITA) - Executive Direction and Administration,2021, $ -   
DOC,International Trade Administration (ITA) - Global Markets,2021, $ -   
DOC,International Trade Administration (ITA) - Industry and Analysis,2021, $ -   
DOC,Minority Business Development Agency (MBDA),2020, $ 0.32 
DOC,Minority Business Development Agency (MBDA),2021, $ -   
DOC,Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy,2021, $ -   
DOC,Minority Business Development Agency (MBDA) - Minority Business Development Grants,2021, $ -   
DOC,National Institute of Standards and Technology (NIST),2021, $ -   
DOC,National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders,2021, $ -   
DOC,National Institute of Standards and Technology (NIST) - Grants,2021, $ -   
DOC,National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous,2021, $ -   
DOC,National Institute of Standards and Technology (NIST) - Payments to Employees,2021, $ -   
DOC,National Institute of Standards and Technology (NIST) - Purchase Card,2021, $ -   
DOC,National Oceanic and Atmospheric Administration (NOAA),2021, $ 0.10 
DOC,National Oceanic and Atmospheric Administration (NOAA) - Grants,2021, $ -   
DOC,National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees,2021, $ -   
DOC,"National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other",2021, $ -   
DOC,National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts,2021, $ -   
DOC,National Technical Information Service (NTIS),2021, $ -   
DOC,National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program),2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA),2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program,2021, $ -   
DOC,"National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications",2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications,2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - First Responder Network Authority,2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund,2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program,2021, $ -   
DOC,National Telecommunications and Information Administration (NTIA) - State and Local Grant Implementation Program,2021, $ -   
DOC,NTIA,2019, $ 0.24 
DOC,NTIA - Information Infrastructure Grants,2021, $ -   
DOC,Office of Inspector General (OIG) - Department of Commerce,2021, $ -   
DOC,Office of the Secretary (OS),2021, $ -   
DOC,Office of the Secretary (OS) - Departmental Management,2021, $ -   
DOC,U.S. Patent and Trademark Office,2021, $ -   
DOC,U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks,2021, $ -   
DOC,USPTO,2019, $ 0.12 
DoD,Administrative,2017, $ 293.23 
DoD,Administrative,2018, $ 48.25 
DoD,Administrative,2019, $ 8.73 
DoD,Administrative,2020, $ 161.73 
DoD,Agency Wide,2022, $ 810.88 
DoD,Agency Wide,2023," $ 2,371.64 "
DoD,Agency Wide,2024," $ 2,371.64 "
DoD,Civil,2017, $ 752.33 
DoD,Civil,2018, $ 910.57 
DoD,Civil,2019, $ 810.44 
DoD,Civil,2020, $ 934.73 
DoD,Civilian Pay,2021, $ -   
DoD,Commercial Pay,2021, $ -   
DoD,Commercial Pay - U.S. Army Corps of Engineers (USACE),2021, $ -   
DoD,Criminal,2017, $ 78.80 
DoD,Criminal,2018, $ 179.45 
DoD,Criminal,2019, $ 247.53 
DoD,Criminal,2020, $ 826.85 
DoD,DoD Travel Pay,2021, $ -   
DoD,Military Health Benefits - Healthcare,2021, $ -   
DoD,Military Pay - Army,2021, $ -   
DoD,Military Pay - Department of Air Force,2021, $ -   
DoD,Military Pay - Marine Corps,2021, $ -   
DoD,Military Pay - Navy,2021, $ -   
DoD,Military Retirement,2021, $ -   
DoD,Travel Pay - U.S. Army Corps of Engineers (USACE),2021, $ -   
DOE,Agency Wide,2022, $ 0.46 
DOE,Agency Wide,2023, $ 2.39 
DOE,Agency Wide,2024, $ 3.30 
DOE,Benefits - Payroll,2018, $ 0.01 
DOE,Benefits - Payroll,2019, $ -   
DOE,Benefits - Payroll,2020, $ -   
DOE,Benefits - Payroll,2021, $ -   
DOE,Benefits - Travel,2018, $ 0.04 
DOE,Benefits - Travel,2019, $ -   
DOE,Benefits - Travel,2020, $ -   
DOE,Benefits - Travel,2021, $ -   
DOE,Contracts,2017, $ 12.21 
DOE,Financial Assistance Awards,2017, $ 1.03 
DOE,Financial Assistance Awards,2018, $ 0.27 
DOE,Financial Assistance Awards,2019, $ 0.13 
DOE,Financial Assistance Awards,2020, $ 8.04 
DOE,Financial Assistance Awards,2021, $ 0.16 
DOE,Loans,2018, $ -   
DOE,Loans,2019, $ -   
DOE,Loans,2020, $ -   
DOE,Loans,2021, $ -   
DOE,Other - Department of Energy,2017, $ 0.03 
DOE,Other - Department of Energy,2018, $ 0.17 
DOE,Other - Department of Energy,2019, $ 0.36 
DOE,Other - Department of Energy,2020, $ 0.25 
DOE,Other - Department of Energy,2021, $ 0.05 
DOE,Vendors/Contracts,2018, $ 138.35 
DOE,Vendors/Contracts,2019, $ 6.17 
DOE,Vendors/Contracts,2020, $ 6.54 
DOE,Vendors/Contracts,2021, $ 0.95 
DOI,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520",2021, $ -   
DOI,Acquisition and Property Management,2020, $ 3.73 
DOI,Acquisition and Property Mangement,2019, $ 0.11 
DOI,Agency Wide,2022, $ 1.32 
DOI,Agency Wide,2023, $ 0.86 
DOI,Agency Wide,2024, $ 0.15 
DOI,"Assistance to Territories, Insular Affairs, Interior",2021, $ -   
DOI,Bureau of Indian Affairs,2017, $ 3.42 
DOI,Bureau of Indian Affairs,2018, $ 0.30 
DOI,Bureau of Indian Affairs,2019, $ 0.04 
DOI,Bureau of Indian Affairs,2020, $ 0.08 
DOI,Bureau of Indian Education,2017, $ 0.02 
DOI,Bureau of Indian Education,2020, $ 0.01 
DOI,Bureau of Land and Management,2019, $ 1.45 
DOI,Bureau of Land and Management,2020, $ 1.57 
DOI,Bureau of Land Management,2017, $ 1.26 
DOI,Bureau of Reclamation,2018, $ 0.06 
DOI,"California Bay-Delta Restoration, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Centennial Challenge, National Park Service, Interior",2021, $ -   
DOI,"Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Central Valley Project Restoration Fund, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Childcare Entitlement to States, Health and Human Services",2021, $ -   
DOI,"Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Compact of Free Association, Insular Affairs, Interior",2021, $ -   
DOI,"Concessioner Improvement Accounts, National Park Service, Interior",2021, $ -   
DOI,"Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior",2021, $ -   
DOI,"Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H",2021, $ -   
DOI,"Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE",2021, $ -   
DOI,"Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",2021, $ -   
DOI,"Contribution for Annuity Benefits, National Park Service, Interior",2021, $ -   
DOI,"Cooperative Endangered Species Conservation Fund, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,Departmental Offices,2017, $ 0.02 
DOI,"Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior",2021, $ -   
DOI,"Departmental Operations, Office of the Secretary, Interior",2021, $ -   
DOI,"Donations, National Park Service, Interior",2021, $ -   
DOI,"Federal Aid to Wildlife Restoration, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Federal Aid-Highways (Liquidation of Contract Authorization) DOT, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Federal Aid-Highways (Liquidation of Contract Authorization), Bureau of Indian Affairs, Interior",2021, $ -   
DOI,"Federal Aid-Highways (Liquidation of Contract Authorization), National Park Service, Interior",2021, $ -   
DOI,"Federal Trust Programs, Bureau of Trust Funds Administration, Interior",2021, $ -   
DOI,Fish and Wildlife Service,2018, $ 0.57 
DOI,Fish and Wildlife Service,2020, $ 0.01 
DOI,"Funds Reserved, Oregon and California Grant Lands, Bureau of Land Management, Interior",2021, $ -   
DOI,"Helium Fund, Bureau of Land Management, Interior",2021, $ -   
DOI,"Historic Preservation Fund, National Park Service, Interior",2021, $ -   
DOI,"Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior",2021, $ -   
DOI,"Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior",2021, $ -   
DOI,"Interior Franchise Fund, Departmental Management, Interior",2021, $ -   
DOI,"Land Acquisition and State Assistance, National Park Service, Interior",2021, $ -   
DOI,"Land Acquisition, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Land and Resources Management Trust Fund, Bureau of Land Management, Interior",2021, $ -   
DOI,"Lower Colorado River Basin Development Fund, Bureau of Reclamation, Interior",2021, $ -   
DOI,"Management of Lands and Resources, Bureau of Land Management, Interior - IRA 221L1109H3, 221L1109H4, 223L1109AF, 226L1109H5, 234L1109AF, 23XL1109A1, 23XL1109HF",2021, $ -   
DOI,"Migratory Bird Conservation Account, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Multinational Species Conservation Fund, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"National Indian Gaming Commission, Gaming Activity Fees, Interior",2021, $ -   
DOI,National Park Service,2017, $ 0.31 
DOI,National Park Service,2018, $ 0.31 
DOI,National Park Services,2019, $ 0.14 
DOI,National Park Services,2020, $ 0.17 
DOI,"National Recreation and Preservation, National Park Service, Interior",2021, $ -   
DOI,"National Wildlife Refuge Fund, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, Interior",2021, $ -   
DOI,"Natural Resource Damage Assessment and Restoration Fund, U.S. Fish and Wildlife Service, Interior",2021, $ -   
DOI,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service, Interior",2021, $ -   
DOI,"Ocean Energy Management, Bureau of Ocean Energy Management, Interior - IRA 226M19175D",2021, $ -   
DOI,Office of Natural Resources Revenue,2019, $ 4.50 
